timestamp,value,is_anomaly
9481,0.1234846,0
9493,-0.1852281,0
9505,-0.05091005,0
9517,0.1528036,0
9529,-0.1761435,0
9541,0.146046,0
9553,0.1728763,0
9565,0.2906224,0
9577,0.2153517,0
9589,0.5112567,0
9601,0.05288867,0
9613,0.2773402,0
9625,-0.07349022,0
9637,0.4166167,0
9649,0.2846812,0
9661,-0.2885402,0
9673,0.01295243,0
9685,0.3469326,0
9697,0.002360707,0
9709,0.08675572,0
9721,0.3109017,0
9733,0.1187593,0
9745,0.4366942,0
9757,0.03424617,0
9769,-0.4643385,0
9781,0.2334746,0
9793,0.01405325,0
9805,0.008353338,0
9817,0.4502197,0
9829,0.4436241,0
9841,0.4472995,0
9853,0.003320792,0
9865,-0.002341852,0
9877,0.01943639,0
9889,0.5985266,0
9901,-0.2068567,0
9913,0.1438424,0
9925,-0.04184384,0
9937,0.06088988,0
9949,0.0805437,0
9961,-0.2847552,0
9973,-0.2339051,0
9985,0.1506348,0
9997,0.09089439,0
10009,0.05865207,0
10021,-0.1899319,0
10033,0.5460762,0
10045,0.377489,0
10057,-0.4438927,0
10069,0.2526711,0
10081,-0.08330341,0
10093,0.08452079,0
10105,-0.1194765,0
10117,0.3622527,0
10129,-0.03734192,0
10141,0.4812254,0
10153,0.2568902,0
10165,-0.1626047,0
10177,0.2733001,0
10189,-0.1250831,0
10201,0.1558411,0
10213,0.2289174,0
10225,0.1206302,0
10237,-0.04786965,0
10249,0.1362434,0
10261,0.1830101,0
10273,0.4641117,0
10285,-0.2131898,0
10297,0.1737731,0
10309,-0.08305496,0
10321,0.2197629,0
10333,-0.05878754,0
10345,0.1011361,0
10357,0.08829524,0
10369,0.2033623,0
10381,0.4080433,0
10393,0.2045624,0
10405,0.1740955,0
10417,0.2552247,0
10429,-0.1609123,0
10441,0.214577,0
10453,0.2105019,0
10465,0.0180513,0
10477,0.1626001,0
10489,-0.1066133,0
10501,0.307239,0
10513,0.2377412,0
10525,0.2116794,0
10537,0.0457858,0
10549,0.398516,0
10561,0.103867,0
10573,0.3661961,0
10585,0.03293696,0
10597,-0.4950923,0
10609,0.03718776,0
10621,0.01732537,0
10633,0.284917,0
10645,-0.1986041,0
10657,0.1540164,0
10669,0.02436711,0
10681,-0.06630197,0
10693,-0.1316064,0
10705,-0.03413738,0
10717,0.1788487,0
10729,0.1807484,0
10741,-0.1146979,0
10753,-0.2842281,0
10765,0.2722995,0
10777,0.003366034,0
10789,-0.09809111,0
10801,-0.002702076,0
10813,0.2727971,0
10825,0.04153815,0
10837,0.1887152,0
10849,0.182047,0
10861,-0.1518404,0
10873,0.03799951,0
10885,0.4458133,0
10897,0.009522212,0
10909,0.2802514,0
10921,0.1691201,0
10933,0.2387111,0
10945,-0.1633855,0
10957,0.3100727,0
10969,-0.3646035,0
10981,0.3344815,0
10993,-0.01060129,0
11005,0.412196,0
11017,-0.1541955,0
11029,0.1949404,0
11041,-0.04451635,0
11053,0.3013056,0
11065,0.2260608,0
11077,0.1951502,0
11089,-0.01560223,0
11101,0.07692748,0
11113,0.351756,0
11125,0.2320758,0
11137,-0.1436839,0
11149,0.0682108,0
11161,-0.03966844,0
11173,0.4034036,0
11185,0.2763661,0
11197,0.1573945,0
11209,0.2103547,0
11221,-0.3151455,0
11233,0.4006937,0
11245,0.1387967,0
11257,0.2877022,0
11269,-0.06247943,0
11281,0.1919167,0
11293,-0.1296473,0
11305,0.1591492,0
11317,-0.2077422,0
11329,-0.01486162,0
11341,-0.01231974,0
11353,0.2222496,0
11365,0.2972672,0
11377,-0.2765718,0
11389,0.107664,0
11401,-0.09824626,0
11413,0.4136424,0
11425,-0.03822859,0
11437,0.3918196,0
11449,-0.1195915,0
11461,-0.01817019,0
11473,-0.182369,0
11485,-0.1081091,0
11497,-0.06726746,0
11509,0.05658421,0
11521,-0.05393947,0
11533,0.0007469736,0
11545,0.5094829,0
11557,0.001872021,0
11569,0.1040427,0
11581,-0.05004874,0
11593,-0.1223087,0
11605,-0.02430011,0
11617,0.2368695,0
11629,0.2472554,0
11641,0.4173226,0
11653,0.08935153,0
11665,0.1810796,0
11677,0.3063824,0
11689,0.09000091,0
11701,-0.08471005,0
11713,-0.01587653,0
11725,-0.3930562,0
11737,0.298754,0
11749,0.03658587,0
11761,0.1371646,0
11773,0.3774079,0
11785,0.05229843,0
11797,0.3724724,0
11809,0.01283028,0
11821,0.1680686,0
11833,0.003561334,0
11845,0.08853952,0
11857,0.04920446,0
11869,0.3923313,0
11881,0.6070923,0
11893,0.2360179,0
11905,0.4206388,0
11917,0.3460774,0
11929,0.3165343,0
11941,0.2312129,0
11953,0.1865814,0
11965,0.01907099,0
11977,0.09450344,0
11989,0.1690901,0
12001,0.3093704,0
